,Date,Home Team,Home Score,Road Team,Road Score,Venue
191,2019-11-19T01:00:00.000Z,HOU,132.0,POR,108.0,Toyota Center
192,2019-11-19T01:00:00.000Z,CHI,101.0,MIL,115.0,United Center
193,2019-11-19T01:30:00.000Z,DAL,117.0,SAS,110.0,American Airlines Center
194,2019-11-19T02:00:00.000Z,UTA,102.0,MIN,112.0,Vivint Smart Home Arena
195,2019-11-19T02:00:00.000Z,PHX,85.0,BOS,99.0,Talking Stick Resort Arena
196,2019-11-19T03:30:00.000Z,LAC,90.0,OKL,88.0,Staples Center
197,2019-11-20T01:00:00.000Z,NOP,115.0,POR,104.0,Smoothie King Center
198,2019-11-20T01:00:00.000Z,MEM,95.0,GSW,114.0,FedEx Forum
199,2019-11-20T03:00:00.000Z,SAC,120.0,PHX,116.0,Golden 1 Center
200,2019-11-20T03:30:00.000Z,LAL,112.0,OKL,107.0,Staples Center
201,2019-11-21T00:00:00.000Z,WAS,138.0,SAS,132.0,Capital One Arena
202,2019-11-21T00:00:00.000Z,PHI,109.0,NYK,104.0,Wells Fargo Center
203,2019-11-21T00:30:00.000Z,DAL,142.0,GSW,94.0,American Airlines Center
204,2019-11-21T00:30:00.000Z,TOR,113.0,ORL,97.0,Scotiabank Arena
205,2019-11-21T00:30:00.000Z,MIA,124.0,CLE,100.0,American Airlines Arena
206,2019-11-21T00:30:00.000Z,BRO,101.0,CHA,91.0,Barclays Center
207,2019-11-21T00:30:00.000Z,ATL,127.0,MIL,135.0,State Farm Arena
208,2019-11-21T01:00:00.000Z,MIN,95.0,UTA,103.0,Target Center
209,2019-11-21T01:00:00.000Z,CHI,109.0,DET,89.0,United Center
210,2019-11-21T02:00:00.000Z,DEN,105.0,HOU,95.0,Pepsi Center
211,2019-11-21T03:00:00.000Z,LAC,107.0,BOS,104.0,Staples Center
212,2019-11-22T01:00:00.000Z,MIL,137.0,POR,129.0,Fiserv Forum
213,2019-11-22T03:30:00.000Z,PHX,121.0,NOP,124.0,Talking Stick Resort Arena
214,2019-11-23T00:00:00.000Z,WAS,125.0,CHA,118.0,Capital One Arena
215,2019-11-23T00:00:00.000Z,DET,128.0,ATL,103.0,Little Caesars Arena
216,2019-11-23T00:30:00.000Z,BRO,116.0,SAC,97.0,Barclays Center
217,2019-11-23T01:00:00.000Z,OKL,127.0,LAL,130.0,Chesapeake Energy Arena
218,2019-11-23T01:00:00.000Z,CHI,108.0,MIA,116.0,United Center
219,2019-11-23T01:00:00.000Z,PHI,115.0,SAS,104.0,Wells Fargo Center
220,2019-11-23T01:30:00.000Z,DAL,143.0,CLE,101.0,American Airlines Center
221,2019-11-23T02:00:00.000Z,UTA,113.0,GSW,109.0,Vivint Smart Home Arena
222,2019-11-23T02:00:00.000Z,DEN,96.0,BOS,92.0,Pepsi Center
223,2019-11-23T03:30:00.000Z,LAC,122.0,HOU,119.0,Staples Center
224,2019-11-23T22:00:00.000Z,MIN,98.0,PHX,100.0,Target Center
225,2019-11-24T00:00:00.000Z,IND,111.0,ORL,106.0,Bankers Life Fieldhouse
226,2019-11-24T00:00:00.000Z,CHA,115.0,CHI,116.0,Spectrum Center
227,2019-11-24T00:30:00.000Z,PHI,113.0,MIA,86.0,Wells Fargo Center
228,2019-11-24T00:30:00.000Z,NYK,104.0,SAS,111.0,Madison Square Garden
229,2019-11-24T00:30:00.000Z,ATL,116.0,TOR,119.0,State Farm Arena
230,2019-11-24T01:00:00.000Z,MEM,108.0,LAL,109.0,FedEx Forum
231,2019-11-24T01:00:00.000Z,CLE,110.0,POR,104.0,Quicken Loans Arena
232,2019-11-24T01:30:00.000Z,MIL,104.0,DET,90.0,Fiserv Forum
233,2019-11-24T02:00:00.000Z,UTA,128.0,NOP,120.0,Vivint Smart Home Arena
234,2019-11-24T20:30:00.000Z,HOU,123.0,DAL,137.0,Toyota Center
235,2019-11-24T23:00:00.000Z,WAS,106.0,SAC,113.0,Capital One Arena
236,2019-11-24T23:00:00.000Z,NYK,101.0,BRO,103.0,Madison Square Garden
237,2019-11-25T01:00:00.000Z,DEN,116.0,PHX,104.0,Pepsi Center
238,2019-11-25T02:00:00.000Z,LAC,134.0,NOP,109.0,Staples Center
239,2019-11-26T00:00:00.000Z,IND,126.0,MEM,114.0,Bankers Life Fieldhouse
240,2019-11-26T00:00:00.000Z,DET,103.0,ORL,88.0,Little Caesars Arena
241,2019-11-26T00:00:00.000Z,CLE,106.0,BRO,108.0,Quicken Loans Arena
242,2019-11-26T00:30:00.000Z,TOR,101.0,PHI,96.0,Scotiabank Arena
243,2019-11-26T00:30:00.000Z,MIA,117.0,CHA,100.0,American Airlines Arena
244,2019-11-26T00:30:00.000Z,BOS,103.0,SAC,102.0,TD Garden
245,2019-11-26T00:30:00.000Z,ATL,113.0,MIN,125.0,State Farm Arena
246,2019-11-26T01:00:00.000Z,MIL,122.0,UTA,118.0,Fiserv Forum
247,2019-11-26T01:00:00.000Z,CHI,94.0,POR,117.0,United Center
248,2019-11-26T01:30:00.000Z,SAS,104.0,LAL,114.0,AT&T Center
249,2019-11-26T03:30:00.000Z,GSW,97.0,OKL,100.0,Chase Center
250,2019-11-27T01:30:00.000Z,DAL,99.0,LAC,114.0,American Airlines Center
251,2019-11-27T02:00:00.000Z,DEN,117.0,WAS,104.0,Pepsi Center
252,2019-11-28T00:00:00.000Z,PHI,97.0,SAC,91.0,Wells Fargo Center
253,2019-11-28T00:00:00.000Z,IND,121.0,UTA,102.0,Bankers Life Fieldhouse
254,2019-11-28T00:00:00.000Z,CLE,104.0,ORL,116.0,Quicken Loans Arena
255,2019-11-28T00:00:00.000Z,CHA,102.0,DET,101.0,Spectrum Center
256,2019-11-28T00:00:00.000Z,BOS,121.0,BRO,110.0,TD Garden
257,2019-11-28T00:30:00.000Z,TOR,126.0,NYK,98.0,Scotiabank Arena
258,2019-11-28T01:00:00.000Z,MIL,111.0,ATL,102.0,Fiserv Forum
259,2019-11-28T01:00:00.000Z,MEM,119.0,LAC,121.0,FedEx Forum
260,2019-11-28T01:00:00.000Z,HOU,117.0,MIA,108.0,Toyota Center
261,2019-11-28T01:30:00.000Z,SAS,101.0,MIN,113.0,AT&T Center
262,2019-11-28T02:00:00.000Z,PHX,132.0,WAS,140.0,Talking Stick Resort Arena
263,2019-11-28T02:30:00.000Z,NOP,110.0,LAL,114.0,Smoothie King Center
264,2019-11-28T03:00:00.000Z,POR,136.0,OKL,119.0,Moda Center
265,2019-11-28T03:30:00.000Z,GSW,104.0,CHI,90.0,Chase Center
266,2019-11-29T17:00:00.000Z,BRO,112.0,BOS,107.0,Barclays Center
267,2019-11-30T00:00:00.000Z,ORL,83.0,TOR,90.0,Amway Center
268,2019-11-30T00:00:00.000Z,DET,107.0,CHA,110.0,Little Caesars Arena
269,2019-11-30T00:30:00.000Z,NYK,95.0,PHI,101.0,Madison Square Garden
270,2019-11-30T00:30:00.000Z,CLE,110.0,MIL,119.0,Quicken Loans Arena
271,2019-11-30T01:00:00.000Z,OKL,109.0,NOP,104.0,Chesapeake Energy Arena
272,2019-11-30T01:00:00.000Z,MEM,94.0,UTA,103.0,FedEx Forum
273,2019-11-30T01:00:00.000Z,MIA,122.0,GSW,105.0,American Airlines Arena
274,2019-11-30T01:00:00.000Z,IND,105.0,ATL,104.0,Bankers Life Fieldhouse
275,2019-11-30T01:30:00.000Z,SAS,107.0,LAC,97.0,AT&T Center
276,2019-11-30T02:00:00.000Z,PHX,113.0,DAL,120.0,Talking Stick Resort Arena
